代码,01001,02002,03003,04004,05005,06006,07007,08008,09009,10010,11011,13012,13013,13014,13015,13016,13017,13018,14019,14020,14021,14022,15023,15024,16025,17026,17027,17028,17029,17030,18031,19032,19033,20034,21035,22036,23037,24038,25039,25040,26041,26042,26043,26044,26045,26046,26047,27048,28049,29050,29051,30052,30053,30054,30055,30056,30057,30058,31059,31060,31061,32062,32063,33064,34065,34066,34067,34068,34069,34070,35071,35072,35073,35074,36075,36076,37077,37078,37079,38080,38081,38082,38083,38084,38085,39086,39087,39088,39089,39090,39091,40092,41093,42094,43095,44096,45097,46098,47099,48100,49101,50102,51103,53104,54105,55106,56107,57108,58109,59110,60111,61112,62113,63114,65115,66116,67117,68118,70119,71120,72121,73122,74123,75124,76125,77126,78127,79128,80129,82130,83131,84132,85133,86134,87135,88136,89137,93138,90139,FU101,FU102,FU103,FU201,FU202,EX,OF
10010,6234 ,0 ,1290 ,4708 ,0 ,0 ,0 ,361 ,14 ,353799 ,0 ,0 ,751 ,0 ,0 ,25 ,488 ,2769 ,1 ,0 ,4936 ,11876 ,482 ,0 ,0 ,2284 ,0 ,24 ,113 ,3 ,0 ,191 ,0 ,3659 ,0 ,15282 ,9 ,2918 ,6 ,0 ,103050 ,0 ,14 ,51537 ,22140 ,26496 ,3331 ,541 ,519 ,4378 ,10238 ,254366 ,1060393 ,124851 ,118100 ,31342 ,134002 ,73225 ,15110 ,38840 ,7937 ,814 ,506 ,13311 ,31 ,0 ,0 ,206 ,0 ,1498 ,363 ,1701 ,0 ,44 ,0 ,1976 ,0 ,103 ,38 ,208 ,12955 ,920 ,1292 ,227 ,2146 ,0 ,0 ,151 ,0 ,2124 ,0 ,121 ,1256 ,15983 ,0 ,6442 ,0 ,1014 ,673264 ,653545 ,20514 ,29116 ,0 ,32 ,0 ,0 ,0 ,0 ,569 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,16 ,0 ,4072 ,58 ,0 ,82 ,0 ,39 ,0 ,47 ,0 ,0 ,0 ,2 ,0 ,0 ,50 ,0 ,7 ,0 ,0 ,0 ,0 ,60652 ,18132 ,391744 
11011,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17580 ,8449 ,9833 ,93 ,0 ,0 ,0 ,56 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
13012,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2069 ,63702 ,0 ,0 ,417 ,28653 ,10 ,131918 ,666 ,686 ,30719 ,72642 ,2997 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3153 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2407 ,0 ,0 ,0 ,0 ,5219 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,692 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1667 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55488 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2405 ,0 ,0 ,383363 ,955697 ,0 ,0 ,29921 ,5 ,78150 
13013,30817 ,863 ,1484513 ,600409 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34756 ,0 ,0 ,390 ,95383 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,0 ,0 ,0 ,0 ,119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1750 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13984 ,130794 ,303107 
13014,26601 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,70737 ,376593 ,0 ,1313 ,20754 ,8784 ,37048 ,0 ,7375 ,63507 ,0 ,149 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,600 ,0 ,0 ,0 ,0 ,40 ,2286 ,0 ,0 ,0 ,694 ,44 ,0 ,3141 ,60795 ,17988 ,1 ,0 ,8622 ,0 ,0 ,0 ,115 ,2 ,0 ,0 ,0 ,322 ,0 ,0 ,0 ,678 ,0 ,0 ,0 ,9 ,1 ,60 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94 ,1198 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,939 ,0 ,106 ,0 ,0 ,288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,544 ,32 ,74 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64229 ,663 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,268485 ,601536 ,0 ,0 ,-40572 ,10062 ,574177 
13015,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1066 ,0 ,0 ,1644 ,4072 ,2642 ,5164 ,2687 ,136 ,109308 ,6758 ,171612 ,9837 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,17684 ,0 ,29594 ,0 ,0 ,0 ,5 ,13267 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,56 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1096 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6757 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64152 ,158464 ,0 ,0 ,2 ,7128 ,2637 
13016,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2790 ,1203 ,0 ,956306 ,1736 ,12151 ,35012 ,0 ,29 ,3639 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94437 ,1405 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9067 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,285 ,65 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34125 ,69062 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2056 ,0 ,0 ,534394 ,2415450 ,0 ,0 ,6470 ,99549 ,865995 
13017,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,196429 ,0 ,0 ,8447 ,509751 ,0 ,3052 ,874 ,0 ,1205 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,68 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,306 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,128513 ,97331 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3381 ,0 ,0 ,620736 ,1197067 ,0 ,0 ,25077 ,954640 ,221745 
13018,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,615 ,5703 ,0 ,0 ,6439 ,30731 ,92449 ,43620 ,144 ,51 ,80094 ,17911 ,13598 ,0 ,3728 ,21 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,111685 ,334 ,0 ,0 ,0 ,1772 ,0 ,5 ,0 ,0 ,948 ,9547 ,33792 ,3 ,0 ,0 ,0 ,6120 ,0 ,0 ,2 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,97 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,722 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28706 ,455866 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,898 ,0 ,0 ,508847 ,1807049 ,0 ,0 ,6514 ,334029 ,228202 
14019,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107363 ,1970 ,0 ,14237 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,587 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,218 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42925 ,70847 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142769 ,622239 ,0 ,0 ,1321 ,18639 ,331029 
